ts,endpoint,unit,suffix,base_model,variant_label,model_tag,num_gpu,num_ctx,batch,num_predict,tokens_per_sec,gpu_label,gpu_name,gpu_uuid,gpu_mem_mib
2025-09-12T17:16:03+00:00,127.0.0.1:11435,ollama-test-a.service,A,llama4:16x17b,base-as-is,llama4:16x17b,default,1024,32,256,18.75,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:16:23+00:00,127.0.0.1:11435,ollama-test-a.service,A,llama4:16x17b,optimized,llama4-16x17b-nvidia-5090-ng24:latest,24,1024,32,256,20.31,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:16:38+00:00,127.0.0.1:11435,ollama-test-a.service,A,llama4:16x17b,optimized,llama4-16x17b-nvidia-5090-ng16:latest,16,1024,32,256,16.70,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:17:23+00:00,127.0.0.1:11436,ollama-test-b.service,B,llama4:16x17b,optimized,llama4-16x17b-nvidia-3090ti-ng16:latest,16,1024,32,256,15.27,nvidia-3090ti,NVIDIA GeForce RTX 3090 Ti,GPU-b8530596-c700-dd8d-4312-2b4fb42129fc,24564
2025-09-12T17:18:30+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng56:latest,56,1024,32,256,8.71,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:19:13+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng48:latest,48,1024,32,256,7.04,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:20:02+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng40:latest,40,1024,32,256,5.98,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:21:19+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng32:latest,32,1024,32,256,3.62,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T17:25:38+00:00,127.0.0.1:11436,ollama-test-b.service,B,deepseek-r1:70b,base-as-is,deepseek-r1:70b,default,1024,32,256,3.64,nvidia-3090ti,NVIDIA GeForce RTX 3090 Ti,GPU-b8530596-c700-dd8d-4312-2b4fb42129fc,24564
2025-09-12T17:27:07+00:00,127.0.0.1:11436,ollama-test-b.service,B,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-3090ti-ng40:latest,40,1024,32,256,4.16,nvidia-3090ti,NVIDIA GeForce RTX 3090 Ti,GPU-b8530596-c700-dd8d-4312-2b4fb42129fc,24564
